Threshold, Elbow PCKhs
0.0006, 0.0000
0.0104, 0.0061
0.0209, 0.0242
0.0307, 0.0503
0.0405, 0.0884
0.0503, 0.1245
0.0607, 0.1666
0.0706, 0.2167
0.0810, 0.2708
0.0902, 0.3209
0.1000, 0.3710
0.1110, 0.4191
0.1209, 0.4632
0.1301, 0.5073
0.1405, 0.5534
0.1503, 0.5935
0.1589, 0.6296
0.1699, 0.6737
0.1804, 0.7018
0.1902, 0.7299
0.2000, 0.7560
0.2098, 0.7741
0.2196, 0.7882
0.2301, 0.8043
0.2399, 0.8144
0.2497, 0.8265
0.2595, 0.8346
0.2699, 0.8427
0.2798, 0.8528
0.2896, 0.8589
0.2994, 0.8650
0.3098, 0.8711
0.3196, 0.8752
0.3301, 0.8793
0.3399, 0.8854
0.3491, 0.8875
0.3595, 0.8936
0.3699, 0.8997
0.3804, 0.9018
0.3896, 0.9019
