Threshold, Wrist PCKhs
-0.0003, 0.0000
0.0095, 0.0040
0.0194, 0.0140
0.0293, 0.0300
0.0397, 0.0540
0.0496, 0.0900
0.0595, 0.1240
0.0694, 0.1600
0.0793, 0.2000
0.0898, 0.2440
0.1003, 0.2860
0.1096, 0.3320
0.1201, 0.3680
0.1306, 0.4060
0.1398, 0.4420
0.1510, 0.4800
0.1602, 0.5120
0.1707, 0.5440
0.1800, 0.5740
0.1898, 0.6000
0.2009, 0.6240
0.2102, 0.6500
0.2201, 0.6680
0.2299, 0.6900
0.2404, 0.7080
0.2503, 0.7220
0.2601, 0.7380
0.2700, 0.7520
0.2805, 0.7640
0.2903, 0.7740
0.3008, 0.7840
0.3107, 0.7940
0.3205, 0.8040
0.3304, 0.8140
0.3402, 0.8220
0.3507, 0.8300
0.3605, 0.8340
0.3710, 0.8420
0.3803, 0.8460
0.3907, 0.8520
