Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.01708984375,0.01806640625,0.013671875
5,0.0537109375,0.060546875,0.06201171875
7.5,0.1103515625,0.13330078125,0.12841796875
10,0.1884765625,0.2255859375,0.220703125
12.5,0.2734375,0.3115234375,0.31005859375
15,0.3515625,0.400390625,0.388671875
17.5,0.42919921875,0.4970703125,0.4677734375
20,0.48876953125,0.58984375,0.53515625
22.5,0.5546875,0.669921875,0.58544921875
25,0.6083984375,0.7314453125,0.63134765625
27.5,0.65185546875,0.7744140625,0.666015625
30,0.6787109375,0.806640625,0.69921875
32.5,0.70849609375,0.8232421875,0.72802734375
35,0.736328125,0.8408203125,0.7470703125
37.5,0.75537109375,0.85498046875,0.7626953125
40,0.77197265625,0.86572265625,0.77490234375
42.5,0.787109375,0.87255859375,0.78564453125
45,0.7978515625,0.8759765625,0.7939453125
47.5,0.81591796875,0.88232421875,0.80078125
50,0.8232421875,0.88623046875,0.80517578125
52.5,0.83203125,0.89013671875,0.81103515625
55,0.83935546875,0.8935546875,0.81640625
57.5,0.8466796875,0.89501953125,0.82080078125
60,0.85693359375,0.8984375,0.8271484375
62.5,0.865234375,0.90234375,0.83154296875
65,0.8740234375,0.9091796875,0.83544921875
67.5,0.87841796875,0.9150390625,0.83984375
70,0.8828125,0.9169921875,0.84521484375
72.5,0.888671875,0.9189453125,0.849609375
75,0.89208984375,0.92236328125,0.857421875
77.5,0.89990234375,0.92626953125,0.86279296875
80,0.904296875,0.92822265625,0.87060546875
82.5,0.9052734375,0.92919921875,0.87548828125
85,0.9072265625,0.935546875,0.8798828125
87.5,0.90771484375,0.9365234375,0.88232421875
90,0.9091796875,0.9384765625,0.8857421875
92.5,0.91015625,0.94189453125,0.88818359375
95,0.91552734375,0.943359375,0.89453125
97.5,0.91845703125,0.94580078125,0.90185546875
100,0.91845703125,0.9462890625,0.90869140625
