Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.013671875,0.00634765625,0.03173828125
5,0.04638671875,0.03369140625,0.107421875
7.5,0.1279296875,0.080078125,0.224609375
10,0.20556640625,0.1513671875,0.36279296875
12.5,0.30810546875,0.23681640625,0.48828125
15,0.4169921875,0.3349609375,0.6005859375
17.5,0.5234375,0.439453125,0.69140625
20,0.62158203125,0.53369140625,0.76904296875
22.5,0.71337890625,0.6279296875,0.82275390625
25,0.78173828125,0.6982421875,0.869140625
27.5,0.8369140625,0.76318359375,0.91015625
30,0.8720703125,0.81201171875,0.931640625
32.5,0.908203125,0.85009765625,0.94384765625
35,0.923828125,0.880859375,0.9541015625
37.5,0.94140625,0.9072265625,0.962890625
40,0.95361328125,0.931640625,0.970703125
42.5,0.95849609375,0.94384765625,0.9736328125
45,0.96630859375,0.9521484375,0.9755859375
47.5,0.970703125,0.95751953125,0.97705078125
50,0.97412109375,0.9638671875,0.97705078125
52.5,0.97705078125,0.9658203125,0.978515625
55,0.97900390625,0.9677734375,0.97900390625
57.5,0.98046875,0.9697265625,0.98046875
60,0.9814453125,0.9736328125,0.9814453125
62.5,0.98291015625,0.9755859375,0.9814453125
65,0.9833984375,0.9794921875,0.98193359375
67.5,0.98388671875,0.98095703125,0.98193359375
70,0.98583984375,0.9814453125,0.9833984375
72.5,0.98583984375,0.98291015625,0.98388671875
75,0.98681640625,0.9853515625,0.98583984375
77.5,0.98779296875,0.9873046875,0.98583984375
80,0.9892578125,0.9873046875,0.98583984375
82.5,0.98974609375,0.98828125,0.98583984375
85,0.990234375,0.98876953125,0.98583984375
87.5,0.990234375,0.98876953125,0.98583984375
90,0.9912109375,0.9892578125,0.98681640625
92.5,0.9912109375,0.98974609375,0.98681640625
95,0.99267578125,0.99072265625,0.9873046875
97.5,0.99267578125,0.99169921875,0.9873046875
100,0.99267578125,0.9931640625,0.9873046875
