Threshold,Elbow,Shoulder,Wrist
0,0,0,0
2.5,0.0327000423035882,0.0269274967009515,0.0282900868413947
5,0.116805258272877,0.124601430745238,0.115321365421969
7.5,0.222317984076172,0.253655787699127,0.238645727176914
10,0.334449327246668,0.403034808907747,0.362530159310843
12.5,0.443526288207401,0.523194362889019,0.468168317262885
15,0.531895011333573,0.624412011693469,0.554598587194161
17.5,0.594592717468856,0.69230927079979,0.604576376004947
20,0.653536769394932,0.748151585753162,0.640189187070475
22.5,0.686126317251656,0.782218602213677,0.666598726558485
25,0.703748603034493,0.817589453147198,0.679883630789063
27.5,0.725839599946963,0.838392400507643,0.693288736749501
30,0.739087884126052,0.85157754500281,0.703892619787992
32.5,0.760542748723,0.862281299919813,0.718498000992971
35,0.777560472032277,0.869835963101169,0.725820725217103
37.5,0.795230112578056,0.87548222933596,0.734503993658923
40,0.810339438940769,0.877995188756085,0.745188011183987
42.5,0.820375491700289,0.881764627886273,0.751029989460573
45,0.82985433674919,0.884293372227379,0.759593056172533
47.5,0.840510736903251,0.888062811357566,0.762874214986891
50,0.848654177637187,0.891211903093213,0.764794829583562
52.5,0.851787484451853,0.893104515118797,0.770036670237877
55,0.857465320528605,0.896206252091502,0.775358645378766
57.5,0.866896810814565,0.906925791929486,0.782641302359612
60,0.87383112660138,0.918822886872628,0.791164301828286
62.5,0.880129310072674,0.920683929056251,0.800407640649089
65,0.884503311676422,0.928922079316071,0.805009276437848
67.5,0.889529230516672,0.932644163683317,0.813652477636381
70,0.89390323212042,0.937701652365528,0.824136158945012
72.5,0.895795844146004,0.940214611785653,0.829458134085901
75,0.895795844146004,0.945240530625904,0.831418815925858
77.5,0.897052323856067,0.946481225414986,0.834699974740216
80,0.897052323856067,0.951475574413275,0.839381745015548
82.5,0.897672671250608,0.9539885338334,0.842622836586619
85,0.897672671250608,0.954608881227941,0.844623585669863
87.5,0.898944935881651,0.955849576017022,0.849185154215335
90,0.900821762986254,0.957106055727085,0.851185903298579
92.5,0.901457895301776,0.960891279778253,0.854426994869651
95,0.902714375011839,0.962147759488316,0.854426994869651
97.5,0.904591202116442,0.966521761092064,0.856427743952895
100,0.905211549510983,0.970306985143232,0.862309789472767
