Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0,0.000488758553274682,0
5,0,0.000977517106549365,0.000488758553274682
7.5,0,0.00244379276637341,0.000977517106549365
10,0.00195503421309873,0.00439882697947214,0.00244379276637341
12.5,0.00293255131964809,0.00635386119257087,0.00293255131964809
15,0.00342130987292278,0.0083088954056696,0.00439882697947214
17.5,0.00439882697947214,0.0112414467253177,0.00782013685239492
20,0.00733137829912024,0.0136852394916911,0.00977517106549365
22.5,0.0083088954056696,0.0151515151515152,0.0112414467253177
25,0.0117302052785924,0.020039100684262,0.0146627565982405
27.5,0.0185728250244379,0.0234604105571848,0.0161290322580645
30,0.0229716520039101,0.0293255131964809,0.0185728250244379
32.5,0.0293255131964809,0.0347018572825024,0.0229716520039101
35,0.041544477028348,0.0405669599217986,0.0298142717497556
37.5,0.052297165200391,0.0493646138807429,0.0405669599217986
40,0.063049853372434,0.0674486803519062,0.0606060606060606
42.5,0.0811339198435973,0.0928641251221896,0.093841642228739
45,0.104594330400782,0.136852394916911,0.133919843597263
47.5,0.152981427174976,0.18475073313783,0.189638318670577
50,0.211632453567937,0.232160312805474,0.26099706744868
52.5,0.284457478005865,0.281036168132942,0.336265884652981
55,0.345063538611926,0.317204301075269,0.398826979472141
57.5,0.39980449657869,0.361681329423265,0.481915933528837
60,0.454545454545455,0.406647116324536,0.559628543499511
62.5,0.495601173020528,0.441837732160313,0.626588465298143
65,0.547898338220919,0.47702834799609,0.685239491691105
67.5,0.599706744868035,0.514173998044966,0.717008797653959
70,0.649071358748778,0.540078201368524,0.738514173998045
72.5,0.688660801564027,0.565493646138807,0.754154447702835
75,0.711632453567937,0.575757575757576,0.770772238514174
77.5,0.736070381231672,0.585043988269795,0.788367546432063
80,0.760508308895406,0.593841642228739,0.803519061583578
82.5,0.773704789833822,0.602639296187683,0.816226783968719
85,0.788367546432063,0.605571847507331,0.820136852394917
87.5,0.795698924731183,0.612903225806452,0.829423264907136
90,0.80058651026393,0.616813294232649,0.833822091886608
92.5,0.802541544477028,0.622678396871945,0.835777126099707
95,0.805962854349951,0.629032258064516,0.836754643206256
97.5,0.813782991202346,0.632942326490714,0.842130987292278
100,0.817693059628543,0.640273704789834,0.844574780058651
