Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0382358140915147,0.00698167054975723,0.0417352600451192
5,0.142223716528075,0.0342722204332645,0.169261456182985
7.5,0.280820058214789,0.0679240934719881,0.308831343036574
10,0.42558830400495,0.145263892308955,0.443879728587978
12.5,0.527347375599038,0.235694126115205,0.560361302011201
15,0.614649038066915,0.314547698874219,0.644511223183255
17.5,0.689543752643974,0.378276160349541,0.694208541291036
20,0.743525025413723,0.457019238661691,0.728860609544714
22.5,0.78063063916302,0.527445242109118,0.764393286123668
25,0.820948484331887,0.586373509114213,0.796965341834557
27.5,0.841751431692333,0.649707347565018,0.823374881322567
30,0.863174726447319,0.705407598229563,0.845983258860522
32.5,0.882689624255741,0.749720606898642,0.860628707308788
35,0.892804601620164,0.790852953990112,0.868591636398477
37.5,0.904223413457592,0.829409201977535,0.876394296515021
40,0.914974523137537,0.865562984991697,0.885157699443414
42.5,0.923801450949937,0.8798625449081,0.888478925501058
45,0.93009963442123,0.904692225610719,0.895241579346207
47.5,0.93954690962817,0.918976000606141,0.898522738160565
50,0.944635968152344,0.935772735021688,0.90112362486608
52.5,0.94778505988799,0.943837251150721,0.905725260654838
55,0.95281097872824,0.947575120438947,0.909126621199056
57.5,0.955355507990327,0.953174031910796,0.913088052122257
60,0.958488814804993,0.95565542148896,0.913728256987814
62.5,0.962894386250702,0.959377505856206,0.917009415802172
65,0.964150865960765,0.967442021985238,0.922971595808618
67.5,0.964786998276287,0.971164106352484,0.926292821866262
70,0.965407345670828,0.974265843325188,0.932895206738265
72.5,0.966043477986349,0.976126885508811,0.934255750955952
75,0.968572222327455,0.976126885508811,0.935536160687066
77.5,0.969844486958498,0.976747232903352,0.938137047392581
80,0.97048061927402,0.976747232903352,0.941498340693512
82.5,0.971116751589542,0.976747232903352,0.943459022533469
85,0.971752883905063,0.977367580297893,0.948180860052087
87.5,0.973661280851628,0.977367580297893,0.948821064917644
90,0.974917760561691,0.977367580297893,0.950141541892045
92.5,0.975553892877212,0.977367580297893,0.951502086109732
95,0.976190025192734,0.977367580297893,0.952862630327419
97.5,0.978066852297337,0.978624060007956,0.955543651519507
100,0.978687199691878,0.978624060007956,0.960145287308265
